Local Time (Timezone : GMT+8h),Chilled Water Rate (L/sec),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Month,Day,Hour
2019-08-18 00:00:00,169.9,164,150,158,25,59.66,8,18,0
2019-08-18 01:00:00,169.4,164,150,158,24,59.66,8,18,1
2019-08-18 02:00:00,169.1,164,152,163,24,59.66,8,18,2
2019-08-18 03:00:00,175.5,164,152,163,21,59.66,8,18,3
2019-08-18 04:00:00,178.4,164,154,168,22,59.6,8,18,4
2019-08-18 05:00:00,172.2,164,154,168,22,59.63,8,18,5
2019-08-18 06:00:00,168.9,164,152,163,20,59.66,8,18,6
2019-08-18 07:00:00,184.6,164,152,163,20,59.72,8,18,7
2019-08-18 08:00:00,193.2,170,154,153,25,59.75,8,18,8
2019-08-18 09:00:00,193.4,174,154,144,22,59.78,8,18,9
2019-08-18 10:00:00,196,176,154,140,22,59.78,8,18,10
2019-08-18 11:00:00,205.4,181,147,114,24,59.72,8,18,11
2019-08-18 12:00:00,202.8,180,144,110,24,59.72,8,18,12
2019-08-18 13:00:00,200.7,181,142,104,23,59.66,8,18,13
2019-08-18 14:00:00,200.4,182,138,95,28,59.6,8,18,14
2019-08-18 15:00:00,199.4,182,122,72,32,59.6,8,18,15
2019-08-18 16:00:00,194.7,180,138,101,31,59.57,8,18,16
2019-08-18 17:00:00,193.4,176,138,107,31,59.57,8,18,17
2019-08-18 18:00:00,192.3,174,138,111,27,59.6,8,18,18
2019-08-18 19:00:00,183.6,168,145,136,24,59.6,8,18,19
2019-08-18 20:00:00,180.3,168,146,140,22,59.66,8,18,20
2019-08-18 21:00:00,177.3,164,148,153,19,59.72,8,18,21
2019-08-18 22:00:00,185.6,164,148,153,17,59.72,8,18,22
2019-08-18 23:00:00,187.7,164,148,153,14,59.75,8,18,23
2019-08-19 00:00:00,171.5,164,146,148,17,59.75,8,19,0
2019-08-19 01:00:00,165.9,164,148,153,17,59.72,8,19,1
2019-08-19 02:00:00,165.1,164,146,148,15,59.72,8,19,2
2019-08-19 03:00:00,171.5,162,146,158,15,59.69,8,19,3
2019-08-19 04:00:00,173.8,162,150,168,12,59.66,8,19,4
2019-08-19 05:00:00,176.2,164,150,158,13,59.69,8,19,5
2019-08-19 06:00:00,181.3,164,150,158,14,59.72,8,19,6
2019-08-19 07:00:00,227.8,164,150,158,15,59.72,8,19,7
2019-08-19 08:00:00,233.2,166,148,148,17,59.75,8,19,8
2019-08-19 09:00:00,227.5,168,150,148,17,59.78,8,19,9
2019-08-19 10:00:00,236.6,172,145,128,20,59.78,8,19,10
2019-08-19 11:00:00,239.9,178,144,113,19,59.75,8,19,11
2019-08-19 12:00:00,239.4,180,144,110,13,59.69,8,19,12
2019-08-19 13:00:00,238.9,180,142,107,13,59.63,8,19,13
2019-08-19 14:00:00,208.4,180,140,104,16,59.6,8,19,14
2019-08-19 15:00:00,243.7,180,144,110,16,59.54,8,19,15
2019-08-19 16:00:00,238.5,182,138,95,16,59.54,8,19,16
2019-08-19 17:00:00,234.6,180,136,98,16,59.54,8,19,17
2019-08-19 18:00:00,203.3,176,140,110,16,59.54,8,19,18
2019-08-19 19:00:00,192.1,172,146,132,24,59.6,8,19,19
2019-08-19 20:00:00,187.1,168,148,144,22,59.63,8,19,20
2019-08-19 21:00:00,185.7,168,152,153,18,59.66,8,19,21
2019-08-19 22:00:00,189.7,168,154,158,15,59.66,8,19,22
2019-08-19 23:00:00,190,166,154,163,22,59.66,8,19,23
2019-08-20 00:00:00,177.8,164,154,168,19,59.66,8,20,0
2019-08-20 01:00:00,174.2,164,154,168,20,59.6,8,20,1
2019-08-20 02:00:00,173.3,164,154,168,21,59.6,8,20,2
2019-08-20 03:00:00,177,164,154,168,22,59.6,8,20,3
2019-08-20 04:00:00,179.1,164,154,168,20,59.6,8,20,4
2019-08-20 05:00:00,181.8,163,154,173,22,59.6,8,20,5
2019-08-20 06:00:00,183.2,164,154,168,17,59.6,8,20,6
2019-08-20 07:00:00,222.9,164,154,168,18,59.63,8,20,7
2019-08-20 08:00:00,236.2,166,154,163,20,59.66,8,20,8
2019-08-20 09:00:00,232.6,168,152,153,21,59.69,8,20,9
2019-08-20 10:00:00,234.9,172,152,144,22,59.66,8,20,10
2019-08-20 11:00:00,235.6,176,150,132,27,59.66,8,20,11
2019-08-20 12:00:00,232.9,180,146,118,30,59.6,8,20,12
2019-08-20 13:00:00,231.2,182,146,110,28,59.54,8,20,13
2019-08-20 14:00:00,233,180,142,107,30,59.54,8,20,14
2019-08-20 15:00:00,234,181,140,101,32,59.48,8,20,15
2019-08-20 16:00:00,236.1,181,144,107,33,59.45,8,20,16
2019-08-20 17:00:00,233.5,176,142,113,30,59.48,8,20,17
2019-08-20 18:00:00,229.1,172,146,132,30,59.48,8,20,18
2019-08-20 19:00:00,188,170,148,140,27,59.54,8,20,19
2019-08-20 20:00:00,188.4,168,148,144,27,59.54,8,20,20
2019-08-20 21:00:00,184.4,168,148,144,27,59.57,8,20,21
2019-08-20 22:00:00,186.2,168,150,148,26,59.6,8,20,22
2019-08-20 23:00:00,187.7,164,150,158,23,59.6,8,20,23
2019-08-21 00:00:00,174.9,164,150,158,27,59.6,8,21,0
2019-08-21 01:00:00,169.1,164,150,158,27,59.57,8,21,1
2019-08-21 02:00:00,168.9,164,150,158,22,59.54,8,21,2
2019-08-21 03:00:00,175.2,164,150,158,22,59.54,8,21,3
2019-08-21 04:00:00,177.6,164,150,158,22,59.54,8,21,4
2019-08-21 05:00:00,179.2,164,150,158,18,59.54,8,21,5
2019-08-21 06:00:00,180.3,164,150,158,19,59.6,8,21,6
2019-08-21 07:00:00,214.8,166,150,153,20,59.6,8,21,7
2019-08-21 08:00:00,234.2,168,150,148,17,59.66,8,21,8
2019-08-21 09:00:00,228.7,172,152,144,16,59.66,8,21,9
2019-08-21 10:00:00,229,174,152,140,19,59.66,8,21,10
2019-08-21 11:00:00,231.9,176,150,132,20,59.66,8,21,11
2019-08-21 12:00:00,233.9,174,147,128,27,59.6,8,21,12
2019-08-21 13:00:00,231.2,174,146,128,16,59.57,8,21,13
2019-08-21 14:00:00,233.5,180,146,118,15,59.54,8,21,14
2019-08-21 15:00:00,235.2,180,146,118,19,59.48,8,21,15
2019-08-21 16:00:00,237.4,180,146,118,21,59.48,8,21,16
2019-08-21 17:00:00,236.6,178,150,128,25,59.48,8,21,17
2019-08-21 18:00:00,228.3,174,152,140,27,59.51,8,21,18
2019-08-21 19:00:00,187.7,170,150,144,20,59.54,8,21,19
2019-08-21 20:00:00,187.5,168,154,158,19,59.6,8,21,20
2019-08-21 21:00:00,186.5,168,154,158,14,59.66,8,21,21
2019-08-21 22:00:00,192.4,168,154,158,18,59.66,8,21,22
2019-08-21 23:00:00,193,166,154,163,21,59.66,8,21,23
2019-08-22 00:00:00,178.1,164,154,168,19,59.66,8,22,0
2019-08-22 01:00:00,172.3,164,154,168,20,59.6,8,22,1
2019-08-22 02:00:00,172.5,164,154,168,21,59.6,8,22,2
2019-08-22 03:00:00,178.1,164,154,168,22,59.6,8,22,3
2019-08-22 04:00:00,181.1,164,154,168,20,59.6,8,22,4
2019-08-22 05:00:00,181.8,163,154,173,22,59.6,8,22,5
2019-08-22 06:00:00,181.3,164,154,168,17,59.6,8,22,6
2019-08-22 07:00:00,218.4,164,154,168,18,59.63,8,22,7
2019-08-22 08:00:00,234,166,154,163,20,59.66,8,22,8
2019-08-22 09:00:00,230.7,168,152,153,21,59.69,8,22,9
2019-08-22 10:00:00,235.1,172,152,144,22,59.66,8,22,10
2019-08-22 11:00:00,233.3,176,150,132,27,59.66,8,22,11
2019-08-22 12:00:00,231.3,180,146,118,30,59.6,8,22,12
2019-08-22 13:00:00,231.4,182,146,110,28,59.54,8,22,13
2019-08-22 14:00:00,231.6,180,142,107,30,59.54,8,22,14
2019-08-22 15:00:00,235.3,181,140,101,32,59.48,8,22,15
2019-08-22 16:00:00,234.2,181,144,107,33,59.45,8,22,16
2019-08-22 17:00:00,232.4,176,142,113,30,59.48,8,22,17
2019-08-22 18:00:00,223.8,172,146,132,30,59.48,8,22,18
2019-08-22 19:00:00,191.4,170,148,140,27,59.54,8,22,19
2019-08-22 20:00:00,186.6,168,148,144,27,59.54,8,22,20
2019-08-22 21:00:00,184.1,168,148,144,27,59.57,8,22,21
2019-08-22 22:00:00,190.3,168,150,148,26,59.6,8,22,22
2019-08-22 23:00:00,191.3,164,150,158,23,59.66,8,22,23
2019-08-23 00:00:00,177.2,164,150,158,16,59.66,8,23,0
2019-08-23 01:00:00,171.2,164,154,168,14,59.66,8,23,1
2019-08-23 02:00:00,169.9,164,154,168,19,59.66,8,23,2
2019-08-23 03:00:00,176.2,164,154,168,19,59.6,8,23,3
2019-08-23 04:00:00,178,164,154,168,17,59.66,8,23,4
2019-08-23 05:00:00,180.6,164,154,168,18,59.66,8,23,5
2019-08-23 06:00:00,180.2,164,154,168,18,59.69,8,23,6
